hora,km_to_CO,start station id,cantidad_de_viajes,distancia_recorrida_sum,duracion_del_viaje,date_local,contaminante_co
09,1.3245,364,2,2.715,1690,2019-04-01,0.191
13,1.3245,364,2,3.9090999999999996,1531,2019-04-01,0.177
08,1.3245,364,3,6.9829,1654,2019-04-02,0.249
09,1.3245,364,1,2.715,686,2019-04-02,0.2
16,1.3245,364,1,0.7693,315,2019-04-02,0.22899999999999998
17,1.3245,364,2,6.0495,1417,2019-04-02,0.252
18,1.3245,364,1,0.758,216,2019-04-02,0.18100000000000002
20,1.3245,364,1,1.508,326,2019-04-02,0.174
09,1.3245,364,3,10.7858,2561,2019-04-03,0.177
10,1.3245,364,1,1.5643,437,2019-04-03,0.18100000000000002
12,1.3245,364,1,1.236,872,2019-04-03,0.213
00,1.3245,364,1,1.4211,455,2019-04-04,0.146
08,1.3245,364,3,7.1583000000000006,1903,2019-04-04,0.174
09,1.3245,364,2,4.2793,1161,2019-04-04,0.182
16,1.3245,364,3,3.4698,12158,2019-04-04,0.21100000000000002
18,1.3245,364,3,2.8019,1741,2019-04-04,0.233
08,1.3245,364,1,1.6061,382,2019-04-05,0.19399999999999998
09,1.3245,364,2,4.2793,1225,2019-04-05,0.191
11,1.3245,364,1,1.5643,456,2019-04-05,0.233
13,1.3245,364,1,0.861,210,2019-04-05,0.35100000000000003
14,1.3245,364,1,1.4935,336,2019-04-05,0.20600000000000002
15,1.3245,364,1,2.0004,5129,2019-04-05,0.228
11,1.3245,364,2,3.5406000000000004,968,2019-04-06,0.225
13,1.3245,364,3,8.9786,3768,2019-04-06,0.22
14,1.3245,364,5,13.4027,11483,2019-04-06,0.24
16,1.3245,364,2,2.7343,656,2019-04-06,0.204
17,1.3245,364,2,7.834300000000001,2826,2019-04-06,0.19399999999999998
18,1.3245,364,2,5.15,2571,2019-04-06,0.17600000000000002
19,1.3245,364,1,3.9992,1111,2019-04-06,0.27399999999999997
09,1.3245,364,3,2.7054,26437,2019-04-07,0.19899999999999998
17,1.3245,364,1,1.3084,396,2019-04-07,0.23
10,1.3245,364,1,1.5643,432,2019-04-08,0.21
15,1.3245,364,2,4.2004,1180,2019-04-08,0.196
18,1.3245,364,3,3.2122,2056,2019-04-08,0.183
08,1.3245,364,1,1.9441,442,2019-04-09,0.252
11,1.3245,364,1,0.7017,193,2019-04-09,0.254
13,1.3245,364,1,2.1002,569,2019-04-09,0.19899999999999998
14,1.3245,364,1,2.715,973,2019-04-09,0.221
16,1.3245,364,1,0.2849,76,2019-04-09,0.221
18,1.3245,364,1,0.0,1525,2019-04-09,0.204
08,1.3245,364,5,14.091400000000002,4347,2019-04-10,0.204
09,1.3245,364,1,6.2459,1837,2019-04-10,0.196
16,1.3245,364,1,4.4434,1151,2019-04-10,0.196
18,1.3245,364,2,5.8033,2916,2019-04-10,0.172
19,1.3245,364,1,1.236,415,2019-04-10,0.171
08,1.3245,364,2,4.0040000000000004,1096,2019-04-11,0.183
10,1.3245,364,1,0.2849,121,2019-04-11,0.16
16,1.3245,364,2,6.637,4454,2019-04-11,0.24100000000000002
17,1.3245,364,2,2.9661,1079,2019-04-11,0.263
18,1.3245,364,1,0.0,1177,2019-04-11,0.245
19,1.3245,364,2,2.7664999999999997,790,2019-04-11,0.307
20,1.3245,364,1,0.7693,337,2019-04-11,0.289
07,1.3245,364,4,9.125,2135,2019-04-12,0.257
09,1.3245,364,1,0.7403,211,2019-04-12,0.24
12,1.3245,364,1,1.7494,577,2019-04-12,0.311
13,1.3245,364,2,0.861,6798,2019-04-12,0.255
18,1.3245,364,1,4.5738,1472,2019-04-12,0.287
12,1.3245,364,1,0.7693,282,2019-04-13,0.26899999999999996
13,1.3245,364,1,2.4382,637,2019-04-13,0.217
14,1.3245,364,2,9.4323,3156,2019-04-13,0.22399999999999998
15,1.3245,364,4,10.0166,11977,2019-04-13,0.2
17,1.3245,364,1,1.6818,828,2019-04-13,0.293
18,1.3245,364,2,4.0331,1362,2019-04-13,0.268
19,1.3245,364,1,4.7122,912,2019-04-13,0.272
21,1.3245,364,1,3.5937,1264,2019-04-13,0.303
11,1.3245,364,1,2.9226,868,2019-04-14,0.20600000000000002
12,1.3245,364,1,0.7017,208,2019-04-14,0.188
13,1.3245,364,1,5.8033,1380,2019-04-14,0.17600000000000002
22,1.3245,364,1,2.6683,597,2019-04-14,0.439
14,1.3245,364,2,2.9162,4027,2019-04-15,0.193
17,1.3245,364,2,3.4891,1121,2019-04-15,0.19699999999999998
18,1.3245,364,1,3.9976,1142,2019-04-15,0.18600000000000003
22,1.3245,364,1,0.7017,184,2019-04-15,0.154
13,1.3245,364,1,3.238,1238,2019-04-16,0.17800000000000002
16,1.3245,364,1,1.236,403,2019-04-16,0.175
17,1.3245,364,1,1.3084,318,2019-04-16,0.177
18,1.3245,364,3,10.2691,3187,2019-04-16,0.20800000000000002
08,1.3245,364,3,7.3161000000000005,1896,2019-04-17,0.158
09,1.3245,364,3,7.4963,1959,2019-04-17,0.204
10,1.3245,364,1,5.4331,2428,2019-04-17,0.23399999999999999
18,1.3245,364,1,0.0,1083,2019-04-17,0.22
19,1.3245,364,1,5.8033,1291,2019-04-17,0.243
08,1.3245,364,2,8.3397,1578,2019-04-18,0.228
11,1.3245,364,1,1.1185,522,2019-04-18,0.196
12,1.3245,364,1,0.7017,147,2019-04-18,0.21100000000000002
15,1.3245,364,3,2.3079,8467,2019-04-18,0.23199999999999998
16,1.3245,364,1,1.9473,512,2019-04-18,0.205
17,1.3245,364,2,7.3531,2432,2019-04-18,0.24100000000000002
19,1.3245,364,1,2.1002,654,2019-04-18,0.242
07,1.3245,364,1,3.6275,699,2019-04-19,0.135
10,1.3245,364,3,6.1493,342411,2019-04-19,0.159
13,1.3245,364,2,5.751799999999999,1506,2019-04-19,0.175
14,1.3245,364,1,3.6275,1079,2019-04-19,0.168
15,1.3245,364,1,2.5057,481,2019-04-19,0.155
17,1.3245,364,2,4.2004,1253,2019-04-19,0.183
18,1.3245,364,2,5.652,1962,2019-04-19,0.207
19,1.3245,364,2,3.275,1218,2019-04-19,0.19699999999999998
20,1.3245,364,1,0.7403,702,2019-04-19,0.198
21,1.3245,364,5,4.2535,473358,2019-04-19,0.20600000000000002
11,1.3245,364,3,6.011,8984,2019-04-20,0.175
14,1.3245,364,1,5.2223,1304,2019-04-20,0.19399999999999998
18,1.3245,364,1,2.5057,702,2019-04-20,0.191
13,1.3245,364,2,8.9158,1783,2019-04-21,0.16899999999999998
15,1.3245,364,1,2.5057,526,2019-04-21,0.191
16,1.3245,364,1,1.5466,923,2019-04-21,0.203
08,1.3245,364,4,9.609399999999999,15104,2019-04-22,0.21899999999999997
09,1.3245,364,4,10.172699999999999,3348,2019-04-22,0.185
07,1.3245,364,3,10.1727,2575,2019-04-23,0.212
08,1.3245,364,1,3.0706,772,2019-04-23,0.217
10,1.3245,364,1,0.7017,193,2019-04-23,0.17800000000000002
12,1.3245,364,1,0.8771,343,2019-04-23,0.222
13,1.3245,364,1,1.4581,513,2019-04-23,0.247
17,1.3245,364,2,7.2646,1995,2019-04-23,0.18600000000000003
18,1.3245,364,2,3.1012,1935,2019-04-23,0.183
20,1.3245,364,1,1.5643,351,2019-04-23,0.175
08,1.3245,364,2,5.5957,1484,2019-04-24,0.282
09,1.3245,364,4,15.0747,3902,2019-04-24,0.245
10,1.3245,364,2,2.5396,767,2019-04-24,0.196
14,1.3245,364,3,5.718,5410,2019-04-24,0.18100000000000002
16,1.3245,364,1,1.4211,1890,2019-04-24,0.17
17,1.3245,364,3,6.5436000000000005,2211,2019-04-24,0.159
18,1.3245,364,1,0.7693,207,2019-04-24,0.2
19,1.3245,364,1,2.0519,526,2019-04-24,0.19699999999999998
07,1.3245,364,6,19.6276,4422,2019-04-25,0.195
08,1.3245,364,2,7.7393,2262,2019-04-25,0.16399999999999998
09,1.3245,364,3,12.0298,2867,2019-04-25,0.20199999999999999
10,1.3245,364,2,4.0781,976,2019-04-25,0.16399999999999998
13,1.3245,364,1,1.6785,822,2019-04-25,0.179
15,1.3245,364,1,5.202999999999999,2067,2019-04-25,0.172
17,1.3245,364,2,3.7546,2025,2019-04-25,0.203
18,1.3245,364,4,6.2427,2013,2019-04-25,0.22699999999999998
20,1.3245,364,1,0.0,333,2019-04-25,0.27399999999999997
07,1.3245,364,2,4.4885,982,2019-04-26,0.258
10,1.3245,364,1,0.7017,196,2019-04-26,0.171
14,1.3245,364,1,0.0,800,2019-04-26,0.19699999999999998
16,1.3245,364,1,2.5057,738,2019-04-26,0.209
19,1.3245,364,1,0.7693,375,2019-04-26,0.198
11,1.3245,364,1,0.7693,190,2019-04-27,0.183
12,1.3245,364,3,3.9848,1743,2019-04-27,0.17300000000000001
13,1.3245,364,3,4.7765,1955,2019-04-27,0.18100000000000002
15,1.3245,364,3,5.940099999999999,1940,2019-04-27,0.185
19,1.3245,364,2,2.8453999999999997,822,2019-04-27,0.177
07,1.3245,364,2,3.9268,928,2019-04-28,0.163
11,1.3245,364,1,3.6693,917,2019-04-28,0.18600000000000003
16,1.3245,364,3,4.165,1617,2019-04-28,0.217
22,1.3245,364,1,1.1185,542,2019-04-28,0.22699999999999998
07,1.3245,364,5,21.4204,5324,2019-04-29,0.21899999999999997
08,1.3245,364,3,9.8717,271605,2019-04-29,0.174
10,1.3245,364,1,0.0,520,2019-04-29,0.16899999999999998
11,1.3245,364,1,0.7017,182,2019-04-29,0.17600000000000002
17,1.3245,364,1,0.0,1742,2019-04-29,0.212
18,1.3245,364,1,3.4697,763,2019-04-29,0.302
19,1.3245,364,3,6.8237000000000005,1418,2019-04-29,0.254
09,1.3245,364,1,5.3141,1678,2019-04-30,0.261
10,1.3245,364,1,0.7017,198,2019-04-30,0.266
16,1.3245,364,1,1.6061,460,2019-04-30,0.268
17,1.3245,364,2,7.819799999999999,1797,2019-04-30,0.264
18,1.3245,364,5,9.4517,2899,2019-04-30,0.21
19,1.3245,364,5,10.782499999999999,4570,2019-04-30,0.187
07,1.3245,364,5,16.0001,3537,2019-05-01,0.40299999999999997
08,1.3245,364,3,8.8772,2289,2019-05-01,0.462
10,1.3245,364,2,2.3336,740,2019-05-01,0.40399999999999997
12,1.3245,364,1,2.1002,1356,2019-05-01,0.301
13,1.3245,364,1,0.7017,161,2019-05-01,0.302
16,1.3245,364,1,2.48,823,2019-05-01,0.267
17,1.3245,364,1,4.4434,975,2019-05-01,0.293
19,1.3245,364,2,6.0189,1594,2019-05-01,0.258
09,1.3245,364,1,1.9312,363,2019-05-02,0.21899999999999997
10,1.3245,364,1,0.7017,178,2019-05-02,0.23600000000000002
17,1.3245,364,2,3.2493,1038,2019-05-02,0.218
07,1.3245,364,4,11.2526,3054,2019-05-03,0.228
09,1.3245,364,2,4.6591,1224,2019-05-03,0.265
11,1.3245,364,2,3.6645000000000003,937,2019-05-03,0.23600000000000002
16,1.3245,364,1,4.4434,1141,2019-05-03,0.40399999999999997
18,1.3245,364,1,3.8817,959,2019-05-03,0.297
11,1.3245,364,1,0.7017,207,2019-05-04,0.18600000000000003
12,1.3245,364,4,5.9322,2597,2019-05-04,0.223
15,1.3245,364,1,2.5057,796,2019-05-04,0.196
19,1.3245,364,1,2.6264,552,2019-05-04,0.242
23,1.3245,364,1,0.4796,138,2019-05-04,0.19
10,1.3245,364,2,2.6168,1802,2019-05-05,0.166
12,1.3245,364,1,0.8771,270,2019-05-05,0.162
15,1.3245,364,1,2.9226,940,2019-05-05,0.168
17,1.3245,364,2,2.2982,739,2019-05-05,0.18600000000000003
22,1.3245,364,1,0.0,481,2019-05-05,0.205
08,1.3245,364,5,17.4373,4361,2019-05-06,0.18100000000000002
17,1.3245,364,1,1.4581,289,2019-05-06,0.17300000000000001
18,1.3245,364,4,5.1739999999999995,6259,2019-05-06,0.198
19,1.3245,364,2,2.2982,608,2019-05-06,0.172
07,1.3245,364,4,12.033000000000001,3323,2019-05-07,0.175
13,1.3245,364,1,0.0,3886,2019-05-07,0.20600000000000002
16,1.3245,364,2,5.9658,1897,2019-05-07,0.213
17,1.3245,364,5,11.601700000000001,6120,2019-05-07,0.179
18,1.3245,364,2,1.236,1385,2019-05-07,0.19899999999999998
19,1.3245,364,2,5.7856,1917,2019-05-07,0.295
08,1.3245,364,12,37.199999999999996,10838,2019-05-08,0.223
13,1.3245,364,1,2.9612,754,2019-05-08,0.171
14,1.3245,364,2,6.7979,3104,2019-05-08,0.18600000000000003
17,1.3245,364,2,4.4434,9917,2019-05-08,0.19699999999999998
19,1.3245,364,3,4.3935,1995,2019-05-08,0.322
21,1.3245,364,1,1.9505,431,2019-05-08,0.26
07,1.3245,364,6,20.507900000000003,5487,2019-05-09,0.193
09,1.3245,364,2,6.497,1681,2019-05-09,0.14800000000000002
13,1.3245,364,1,0.7693,203,2019-05-09,0.171
16,1.3245,364,4,11.645199999999999,3597,2019-05-09,0.163
